psi	rP1	rP2
12.852000	2380.124090	5718.056109
12.888000	2380.676222	5716.177125
12.924000	2381.228990	5714.299731
12.960000	2381.782396	5712.423925
12.996000	2382.336439	5710.549707
13.032000	2382.891120	5708.677076
13.068000	2383.446438	5706.806032
13.104000	2384.002394	5704.936573
13.140000	2384.558989	5703.068700
13.176000	2385.116221	5701.202411
13.212000	2385.674092	5699.337706
13.248000	2386.232602	5697.474583
13.284000	2386.791751	5695.613043
13.320000	2387.351538	5693.753085
13.356000	2387.911965	5691.894708
13.392000	2388.473031	5690.037911
13.428000	2389.034736	5688.182693
13.464000	2389.597081	5686.329054
13.500000	2390.160066	5684.476994
13.536000	2390.723691	5682.626510
13.572000	2391.287957	5680.777604
13.608000	2391.852862	5678.930274
13.644000	2392.418409	5677.084519
13.680000	2392.984596	5675.240339
13.716000	2393.551424	5673.397733
13.752000	2394.118893	5671.556700
13.788000	2394.687003	5669.717240
13.824000	2395.255755	5667.879352
13.860000	2395.825149	5666.043035
13.896000	2396.395184	5664.208289
13.932000	2396.965862	5662.375113
13.968000	2397.537182	5660.543506
14.004000	2398.109144	5658.713468
14.040000	2398.681749	5656.884998
14.076000	2399.254996	5655.058095
14.112000	2399.828887	5653.232758
14.148000	2400.403420	5651.408988
14.184000	2400.978597	5649.586782
14.220000	2401.554418	5647.766141
14.256000	2402.130882	5645.947065
14.292000	2402.707990	5644.129551
14.328000	2403.285742	5642.313600
14.364000	2403.864138	5640.499211
14.400000	2404.443179	5638.686383
14.436000	2405.022864	5636.875115
14.472000	2405.603195	5635.065408
14.508000	2406.184170	5633.257260
14.544000	2406.765790	5631.450670
14.580000	2407.348056	5629.645638
14.616000	2407.930967	5627.842164
14.652000	2408.514524	5626.040246
14.688000	2409.098727	5624.239884
14.724000	2409.683575	5622.441077
14.760000	2410.269071	5620.643825
14.796000	2410.855212	5618.848127
14.832000	2411.442001	5617.053982
14.868000	2412.029436	5615.261390
14.904000	2412.617518	5613.470350
14.940000	2413.206247	5611.680862
14.976000	2413.795624	5609.892924
15.012000	2414.385649	5608.106536
15.048000	2414.976321	5606.321697
15.084000	2415.567641	5604.538408
15.120000	2416.159609	5602.756666
15.156000	2416.752226	5600.976472
15.192000	2417.345491	5599.197825
15.228000	2417.939405	5597.420724
15.264000	2418.533968	5595.645168
15.300000	2419.129180	5593.871158
15.336000	2419.725042	5592.098692
15.372000	2420.321552	5590.327769
15.408000	2420.918713	5588.558389
15.444000	2421.516523	5586.790552
15.480000	2422.114984	5585.024257
15.516000	2422.714094	5583.259502
15.552000	2423.313855	5581.496288
15.588000	2423.914267	5579.734614
15.624000	2424.515330	5577.974479
15.660000	2425.117043	5576.215882
15.696000	2425.719408	5574.458824
15.732000	2426.322425	5572.703303
15.768000	2426.926092	5570.949318
15.804000	2427.530412	5569.196870
15.840000	2428.135384	5567.445957
15.876000	2428.741007	5565.696578
15.912000	2429.347284	5563.948734
